,Unnamed: 0,Unnamed: 0.1,scaled_input_default,scaled_input_account_check_status,scaled_input_duration_in_month,scaled_input_credit_history,scaled_input_purpose,scaled_input_credit_amount,scaled_input_savings,scaled_input_present_emp_since,scaled_input_installment_as_income_perc,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_present_res_since,scaled_input_property,scaled_input_age,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,origin_input_default,origin_input_account_check_status,origin_input_duration_in_month,origin_input_credit_history,origin_input_purpose,origin_input_credit_amount,origin_input_savings,origin_input_present_emp_since,origin_input_installment_as_income_perc,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_present_res_since,origin_input_property,origin_input_age,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,scaled_cf_account_check_status,scaled_cf_duration_in_month,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_credit_amount,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_installment_as_income_perc,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_present_res_since,scaled_cf_property,scaled_cf_age,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_credits_this_bank,scaled_cf_job,scaled_cf_people_under_maintenance,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_account_check_status,origin_cf_duration_in_month,origin_cf_credit_history,origin_cf_purpose,origin_cf_credit_amount,origin_cf_savings,origin_cf_present_emp_since,origin_cf_installment_as_income_perc,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_present_res_since,origin_cf_property,origin_cf_age,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_credits_this_bank,origin_cf_job,origin_cf_people_under_maintenance,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default,running_time,Found,ground_truth,prediction,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
0,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.4705882352941176,delay in paying off in the past,car (used),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,car (used),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.126108169555664,Y,Y,Y,2.0,1.4142135623730951,21,True,0.03333333333333333,0.38773875398435714
1,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.17449456,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,15.86563008,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1294088363647461,Y,Y,Y,0.29609367529411756,0.29609367529411756,21,True,0.42403659440602814,0.0525079219265656
2,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,no checking account,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,"if not A121/A122 : car or other, not in attribute 6",0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,no checking account,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1267488002777099,Y,Y,Y,4.0,2.0,21,True,0.06666666666666667,1.1475700052358102
3,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,>= 200 DM / salary assignments for at least 1 year,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,co-applicant,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,>= 200 DM / salary assignments for at least 1 year,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,co-applicant,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1260421276092529,Y,Y,Y,4.0,2.0,21,True,0.06666666666666667,0.6719542562723456
4,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,... < 1 year ,1.0,male : single,guarantor,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,... < 1 year ,4.0,male : single,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1223058700561523,Y,Y,Y,4.0,2.0,21,True,0.06666666666666667,0.8235254666336627
5,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,furniture/equipment,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,real estate,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,furniture/equipment,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,real estate,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1278688907623291,Y,Y,N,4.0,2.0,21,True,0.06666666666666667,0.7339821045023719
6,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,co-applicant,1.0,real estate,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,co-applicant,4.0,real estate,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1302130222320556,Y,Y,N,4.0,2.0,21,True,0.06666666666666667,0.8630694577430539
7,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,real estate,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,real estate,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1271569728851318,Y,Y,N,2.0,1.4142135623730951,21,True,0.03333333333333333,0.7155501463992674
8,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.41473113,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,32.20171684,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1333241462707519,Y,Y,N,0.2970840711764706,0.2970840711764706,21,True,0.42545494316558735,0.052683554282154856
9,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,.. >= 1000 DM ,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,unknown / no property,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,.. >= 1000 DM ,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,unknown / no property,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1303102970123291,Y,Y,N,4.0,2.0,21,True,0.06666666666666667,0.8444074987966543
