,Unnamed: 0,Unnamed: 0.1,scaled_input_default,scaled_input_account_check_status,scaled_input_duration_in_month,scaled_input_credit_history,scaled_input_purpose,scaled_input_credit_amount,scaled_input_savings,scaled_input_present_emp_since,scaled_input_installment_as_income_perc,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_present_res_since,scaled_input_property,scaled_input_age,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,origin_input_default,origin_input_account_check_status,origin_input_duration_in_month,origin_input_credit_history,origin_input_purpose,origin_input_credit_amount,origin_input_savings,origin_input_present_emp_since,origin_input_installment_as_income_perc,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_present_res_since,origin_input_property,origin_input_age,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,scaled_cf_account_check_status,scaled_cf_duration_in_month,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_credit_amount,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_installment_as_income_perc,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_present_res_since,scaled_cf_property,scaled_cf_age,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_credits_this_bank,scaled_cf_job,scaled_cf_people_under_maintenance,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_account_check_status,origin_cf_duration_in_month,origin_cf_credit_history,origin_cf_purpose,origin_cf_credit_amount,origin_cf_savings,origin_cf_present_emp_since,origin_cf_installment_as_income_perc,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_present_res_since,origin_cf_property,origin_cf_age,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_credits_this_bank,origin_cf_job,origin_cf_people_under_maintenance,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default,running_time,Found,ground_truth,prediction,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
0,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,unknown/ no savings account,1 <= ... < 4 years,1.0,male : single,guarantor,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,unknown/ no savings account,1 <= ... < 4 years,4.0,male : single,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1892619132995605,Y,Y,Y,4.0,2.0,2,True,0.06666666666666667,0.8741505243029593
1,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.4705882352941176,delay in paying off in the past,car (used),0.3651920325740068,unknown/ no savings account,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,car (used),6887.0,unknown/ no savings account,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.159743070602417,Y,Y,Y,4.0,2.0,2,True,0.06666666666666667,0.8983975278895855
2,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,>= 200 DM / salary assignments for at least 1 year,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,>= 200 DM / salary assignments for at least 1 year,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1907761096954345,Y,Y,Y,4.0,2.0,2,True,0.06666666666666667,0.7711930619103995
3,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.4705882352941176,delay in paying off in the past,car (used),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,0.2,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,car (used),6887.0,... < 100 DM,1 <= ... < 4 years,1.6,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1882562637329101,Y,Y,Y,2.8,1.624807680927192,2,True,0.5200588925082466,0.5119225442955455
4,0,0,Y,< 0 DM,0.4705882352941176,delay in paying off in the past,(vacation - does not exist?),0.3651920325740068,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.4705882352941176,critical account/ other credits existing (not at this bank),(vacation - does not exist?),0.3651920325740068,.. >= 1000 DM ,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,critical account/ other credits existing (not at this bank),(vacation - does not exist?),6887.0,.. >= 1000 DM ,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,29.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1606209278106689,Y,Y,Y,4.0,2.0,2,True,0.06666666666666667,0.8259432076009703
5,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.849856022,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.18677391,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,15695.283343828,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,29.45933896,none,rent,1,skilled employee / official,1,none,yes,Y,0.1592671871185302,Y,Y,N,0.965040219852348,0.827878867980306,2,True,1.6317163568807387,0.13106782836963782
6,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1644248962402343,Y,Y,N,2.0,1.4142135623730951,1,True,0.03333333333333333,0.37466835518412284
7,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1607899665832519,Y,Y,N,2.0,1.4142135623730951,1,True,0.03333333333333333,0.37466835518412284
8,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,stores,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,stores,rent,1,skilled employee / official,1,none,yes,Y,0.1618187427520752,Y,Y,N,2.0,1.4142135623730951,1,True,0.03333333333333333,0.5224786923731759
9,1,0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.0358754264333663,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.47213885,existing credits paid back duly till now,retraining,0.522127726,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.0357142857142857,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,36.1054418,existing credits paid back duly till now,retraining,9739.149292324,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.1590189933776855,Y,Y,N,0.8407440907431043,0.6017522154885196,2,True,1.3704433531259856,0.12486048773487204
