,Unnamed: 0,Unnamed: 0.1,scaled_input_default,scaled_input_account_check_status,scaled_input_duration_in_month,scaled_input_credit_history,scaled_input_purpose,scaled_input_credit_amount,scaled_input_savings,scaled_input_present_emp_since,scaled_input_installment_as_income_perc,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_present_res_since,scaled_input_property,scaled_input_age,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,origin_input_default,origin_input_account_check_status,origin_input_duration_in_month,origin_input_credit_history,origin_input_purpose,origin_input_credit_amount,origin_input_savings,origin_input_present_emp_since,origin_input_installment_as_income_perc,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_present_res_since,origin_input_property,origin_input_age,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,scaled_cf_account_check_status,scaled_cf_duration_in_month,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_credit_amount,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_installment_as_income_perc,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_present_res_since,scaled_cf_property,scaled_cf_age,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_credits_this_bank,scaled_cf_job,scaled_cf_people_under_maintenance,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_account_check_status,origin_cf_duration_in_month,origin_cf_credit_history,origin_cf_purpose,origin_cf_credit_amount,origin_cf_savings,origin_cf_present_emp_since,origin_cf_installment_as_income_perc,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_present_res_since,origin_cf_property,origin_cf_age,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_credits_this_bank,origin_cf_job,origin_cf_people_under_maintenance,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default,running_time,Found,ground_truth,prediction,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
0,0,0,Y,< 0 DM,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,no checking account,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,no checking account,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1640172,Y,Y,Y,2,1.414213562,1,TRUE,0.033333333,0.808859848
1,0,0,Y,< 0 DM,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,0.159064054,Y,Y,Y,2,1.414213562,1,TRUE,0.033333333,0.739068483
2,0,0,Y,< 0 DM,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,0.161689043,Y,Y,Y,2,1.414213562,1,TRUE,0.033333333,0.739068483
3,0,0,Y,< 0 DM,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,no checking account,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,no checking account,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.159406185,Y,Y,Y,2,1.414213562,1,TRUE,0.033333333,0.808859848
4,0,0,Y,< 0 DM,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,>= 200 DM / salary assignments for at least 1 year,0.470588235,delay in paying off in the past,(vacation - does not exist?),0.365192033,... < 100 DM,1 <= ... < 4 years,1,male : single,none,0.666666667,if not A121 : building society savings agreement/ life insurance,0.178571429,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,>= 200 DM / salary assignments for at least 1 year,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.16593194,Y,Y,Y,2,1.414213562,1,TRUE,0.033333333,0.541083886
5,1,0,Y,< 0 DM,0.117647059,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.44394421,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,34.18820628,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Y,0.162554979,Y,Y,N,0.326297151,0.326297151,1,TRUE,0.467291078,0.057864071
6,1,0,Y,< 0 DM,0.117647059,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.117647059,no credits taken/ all credits paid back duly,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,12,no credits taken/ all credits paid back duly,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Y,0.157540083,Y,Y,N,2,1.414213562,1,TRUE,0.033333333,0.574656619
7,1,0,Y,< 0 DM,0.117647059,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.117647059,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,4,skilled employee / official,1,none,yes,N,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,4,skilled employee / official,1,none,yes,N,0.159730196,Y,Y,N,2,1.414213562,1,TRUE,0.033333333,0.496101922
8,1,0,Y,< 0 DM,0.117647059,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.117647059,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,2,skilled employee / official,1,none,yes,N,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,2,skilled employee / official,1,none,yes,N,0.161325932,Y,Y,N,2,1.414213562,1,TRUE,0.033333333,0.936417042
9,1,0,Y,< 0 DM,0.117647059,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.53950398,existing credits paid back duly till now,retraining,0.035875426,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,0.035714286,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,40.68627064,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Y,0.164170027,Y,Y,N,0.421856921,0.421856921,1,TRUE,0.604142496,0.074810211
